sentence_id	sentence	sentence_domain	source	is_used	clips_count
001cc4b5e771f4a79d2e1ce0a56f577930df6e3c02596778260b040a07369efc	hija deskritta bħala t-tislima Nażista bil-maqlub.		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.	1	0
002868f28f468968ed2071d9aa9dfae9501c691ca03fb0987c5557b6972ec7ec	""" Ma tistax isservi lil ħaddieħor jekk int għażżien jew trid tikkontrolla ""."""		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
002c2db5686b745524cf763cb5f70d1239040e9e1c5fd62f1afb621271fe4a00	Dan narawh ħafna fi Sqallija u f'Calabria.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
0036ce53a429275b8b107493adf4a61aaf8195b7b876a451cf92e8d3902bffd5	Li tgħin lil ħaddieħor u tixtieq li għajrek jilħaq il-milja tiegħu wkoll?		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
003b316345070287ef36bea9d467176c50d9d17b8c3573d6ab28bdffb22efe58	Ħareġ umbad li George Farrugia fetaħ kont bankarju fi New York bil-moħbi.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
003f1386ee147553aadd23ddf7fbe20b1326d8c06679a22ab154bf4508f717ed	dak li għandhom x'joffru l-gżejjer Maltin.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
0041721efaf4bedf97952a78597957565dfd2f269e48d73e3c8f666bc88ba232	Kien jidher magħdur u fi stat ħażin ħafna.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
004ee51bf0207f7f4c565aa4051ff3db389148ef5c7ef2a41a76a38e21dd1ceb	hu simbolu tal-awtorità tal-Arċisqof metropolita f'kommunjoni mal-Knisja ta' Ruma.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
00637929ec393a2d9cad9d2c7d885528b07f44132970699541b5240346e83552	Imbagħad tista' ssir riflessjoni fuq l-istatistika.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
006efea74e89ff9ab048e256c4641cd14d963867b7d5104846fd7148055af83d	Ilni nsegwi l-World Cup minn mindu kelli tmien snin.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
0073179588009d376c92bef1c8169b05692625f66e2c49e22f7860d199a77ec1	Nerġa' ngħid li ma naqbilx li m'hemmx bżonn ta' hotel school.		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.	1	0
0073b4e572e8c7bdb9372dc42de269823c2c68e5f781737891653be72b1293b5	Tkellmet magħna dwar xi tfisser li tkun Imħallef Mara.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
00762df67e4dafd9384d41991d8eaf15168e83c27826a2419e65ea90d03073a6	Dan sar waqt quddiesa organizzata mill-Moviment ta' Kana.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	0
2503402497a0c1213cf8f102779c1824a0bab6bcc85bbe757ac2428daf2db6c4	Grazzi lil Louis Grech li se jassumi din ir-responsabbilta.		sentence-collector	1	0
6a59d61d1f57abff4e78c311a286e5d2cae6eadf855c541cfe3a2180f3b1b998	Din il-karozza kienet tintuża mill-Ministru preċedenti ta' l-Affarijiet Barranin.		sentence-collector	1	0
001cee72041f4ab55a9849bf477d0849b1aa985d860d03093d1e5ea8315cb250	L-avukati Franco debono, Marion Camilleri u Angie Muscat dehru għal Repaci.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.	1	1
0067fbfa0e4ffc6b65bce2a05be5ce6bf81039ca8f3c4af7701dc41c72f71159	ħadd ma jitkellem!		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.	1	1
00689a46dc8b0cb05409b2cef6280d74ca0c8426a8aa3715f90c0a68731362cc	""" Ġej għall-aħjar iżda hu diffiċli ħafna "" qal il-Franċiż."""		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.	1	1
00af1168d49d91577b92856724ab41fdc1d977606722fdc34c1d4b8b31821d2b	Il-ħabs għandu jinbidel.		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.	1	1
37f53402ee9ac92ed31c4be4c63fe0c82e03a1af9b018143c8092d09d27b0b17	Qal li din l-attitudni pożittiva fuq bażi volontarja hija inkoraġġjanti.		sentence-collector	1	1
f8233fa3bd7c892acf1b676dff9e636b292b42b0327bbddb64f69843f9125bfe	S'issa aħna mhux bravi konna.		sentence-collector	1	1
f9c7cf34ec3fea30ddbf35c7e3ddd0d5ebee57bf4c3371d36d5924cefff412d1	Hemm ċerta inekwità f'din l-istorja.		sentence-collector	1	1
fcb0e6c0ffeb86605488bf41614db75e9eeba472f86cdb1d60fa12355fd3da19	Qed jittieħdu ħafna inizjattivi, bla dubju, imma għandhom bżonn iktar sapport.		sentence-collector	1	1
073d243862797274a1199ad15a6575a617bc53621680352b3f5850c3f4e74901	Tama għall-Afrikani.		sentence-collector	1	2
1107334248bdf4436af8175329b0fc7507c431348205085c92bba7d1fd7796a8	Din hi d-diżonesta`.		sentence-collector	1	2
1c6e87605d451a830889943b55ce23725bba53f8681e21843496b475507114c8	Min jaf kif u biex se jimlewha!		sentence-collector	1	2
1e3577865bbfa08cabb4bebbaf7359437243df1ffe34dd9d358dadf204a5e299	"Għandek l-Internet quddiemek: ikteb "" European Youth Week ""!"		sentence-collector	1	2
1ef52b6847420c2d8da15d32ad52c3141bb45571708c7957d6b46158b5ad2247	Bil-Malti qed nitkellem!		sentence-collector	1	2
201467652e7bc3f4bb20e21f7f1489590a8429fdd2549acbdda41d4a046eb3e0	Iva, imma jiena qed nispjega.		sentence-collector	1	2
2431c4a04cac98a6c999edbadf1944ba19e7afba2185ec6dba4315f820fc0c38	U ċertament din hija xi ħaġa li ma tistax tittolleraha.		sentence-collector	1	2
29aaf631e0391287c8b850fb663ebbcacb60a391b846beb520c75791fc309e44	L-Ambaxxatur ma setax jirritorna Tripoli għaliex ingħalaq l-ajruport.		sentence-collector	1	2
2b90ba05d559ea044798ea6d919e6e0069ef73cefef9b17eb159ff713bd06ec2	Imma ħalli niġi lura għall-ħsieb wara din il-website.		sentence-collector	1	2
2fcb4c4cfd6acf7e2548e1705cfa413e16aaa082e27b43249a40f47e45452e11	Jista' l-Prim Ministru jgħid jekk hux se jiġi segwit dan il-parir?		sentence-collector	1	2
3193eaf069cea152632a38f1d009d2157a5d2a2e4bfe6f65333ace94611d4c6f	Sur Awditur, l-aħħar domanda qabel ma ngħaddi għan-naħa tal-Gvern.		sentence-collector	1	2
3229603afb337e3169229c76d012b551be20f436cd20b47cc64419232bd379eb	Żeffien żagħżugħ irnexxielu jkompli jara bl-għajnuna ta' Google Glass.		sentence-collector	1	2
3657de9f42c3cd0d4fdf80b2c84d7c357399a3d0a0c93b446e9b4458fe967247	Kellha fidi qawwija li l-Mulej kien qed iħarisna u kien qed jgħinna.		sentence-collector	1	2
36ab453b3f11ab767c35cf6bc52b70c35674c2b78b9e49cb7631dd1db669905b	Anke t-tifel tagħha talab għal ħelsien ta' ommu.		sentence-collector	1	2
376403a39445e4f8f647283ce8534b83e75a5e9321ef200f8fd265b31e671d69	Għaldaqstant, irridu noqogħdu attenti kif nikkwotaw l-istudji li jsiru.		sentence-collector	1	2
3a7e88144ca6b54256768bd72f7f8a12b553728c5bee195c19cee9619674d773	Taħt l-ebda cirkustanza ma ngħadduha lil terzi persuni.		sentence-collector	1	2
3bf3118b572d3e712cf23abaf41e2dfb13cc5306d383035c89dd5253b2bcd98f	Assolutament ma informa lil ħadd!		sentence-collector	1	2
3ece2714fa3f9f0445690c0e2d6deb34b851668844a9fab4c8a29101ea2473be	Tista' l-Ministru tgħid kemm ingħataw direct orders f'dawn l-aħħar xahrejn?		sentence-collector	1	2
3fddf355d67270024de3df182795b71d32ff72d4c671331389f6bb7d1b1e8aa9	Dawk li ma jikkonformawx, ibatu reliġjożament u fiżikament.		sentence-collector	1	2
40879b1adaca20093b4b4169eaee0dd3ed33a5432575766658396d15fea643b6	Mela rrispondihom inti.		sentence-collector	1	2
40b23dfe713c5da66ade8d3cf147ce728d0a4a17204ad428177b4771b5824e38	Imma s-servizzi fil-komunità jinvolvu aktar nies.		sentence-collector	1	2
