client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
8976dc7a8a42014e052db65fe3982194c20195e44d1d24d8c1944382049fd2203be8f38ab1e8800eaaa6b905d76474f867824d9f1c4d34b558edaf855ca3ddd0	common_voice_mt_21172979.mp3	11ca026649e4b43f14a4248d4006c52277a2f581a8b1ec1bf5233fdd0956b2e4	Nirien ħakmu bini abbandunat f'Manoel Island.		0	0	thirties	male_masculine			mt	
0ec9503c7d8fa425442ec917361320c22a5c18ee1f579dcc17c304f4509757ddffe4b93f36d9b2c4c164b6d4b7c9a99da7a36aece03d687b26b7532776104517	common_voice_mt_21175849.mp3	11ca026649e4b43f14a4248d4006c52277a2f581a8b1ec1bf5233fdd0956b2e4	Nirien ħakmu bini abbandunat f'Manoel Island.		1	0	twenties	male_masculine			mt	
91ede218bf2a5d0af91c7accc16bbabde3faf4ee1b887aaaa0f16efdf8f18d07d5e5900ab7e4cac485929486e99c15168a4b1ef09a62a0b22c77020ddad78061	common_voice_mt_21176342.mp3	2953d24b02d545d573cf1b0b833c51fb8c9d6dbbbe76729e63f05f14b6fd5b04	Għalhekk issa l-Iżvizerra jilagħbu kontra l-Arġentina u Franza kontra n-Niġerja.		0	0	twenties	male_masculine			mt	
763b012dbc1e5e50340523213a608fdf1a28b1717eddaa95f11b11f133104a943c95a39a5b9c87fb1b8b481ab99973974fb7a026994a53bdb8c32ca72a58988e	common_voice_mt_21182083.mp3	1a89f0fa25495495d833244901b7185a4185ee431708d9ec5c801c3f699eaca4	Għadek m'għidtilniex min hu dan l-avukat.		0	0	fourties	female_feminine			mt	
763b012dbc1e5e50340523213a608fdf1a28b1717eddaa95f11b11f133104a943c95a39a5b9c87fb1b8b481ab99973974fb7a026994a53bdb8c32ca72a58988e	common_voice_mt_21182088.mp3	346fc4f3dde5b2e9f551caf11039c0405e921a602dc0805b4a3c600f6c940a05	U x'kelli f'rasi jien?		1	0	fourties	female_feminine			mt	
763b012dbc1e5e50340523213a608fdf1a28b1717eddaa95f11b11f133104a943c95a39a5b9c87fb1b8b481ab99973974fb7a026994a53bdb8c32ca72a58988e	common_voice_mt_21182089.mp3	283d3ba5a60d15a88410f2b43cbee96fc273b8348b2e6b43f753892c155966f0	Jien naqbel magħha.		1	0	fourties	female_feminine			mt	
763b012dbc1e5e50340523213a608fdf1a28b1717eddaa95f11b11f133104a943c95a39a5b9c87fb1b8b481ab99973974fb7a026994a53bdb8c32ca72a58988e	common_voice_mt_21182090.mp3	3e0920a60a4e664d2109c148aa1de9b8d6d8c80c3227563c63321059307dc875	Iva, hawn permess.		1	0	fourties	female_feminine			mt	
763b012dbc1e5e50340523213a608fdf1a28b1717eddaa95f11b11f133104a943c95a39a5b9c87fb1b8b481ab99973974fb7a026994a53bdb8c32ca72a58988e	common_voice_mt_21182091.mp3	3cd621571e62a631e03ac6522a72565ea76dc6f3d1981fea9ef560785f0d7880	Mhux veru għidt hekk jien.		0	0	fourties	female_feminine			mt	
0ec9503c7d8fa425442ec917361320c22a5c18ee1f579dcc17c304f4509757ddffe4b93f36d9b2c4c164b6d4b7c9a99da7a36aece03d687b26b7532776104517	common_voice_mt_21189576.mp3	3745d75c2dea6839d6b2fe3d7d344eec8ce9e97033aac61963d8ba0fd3d6cf70	Min jixtieq ibigħ xi kotba jista' wkoll jagħmel dan waqt l-attività.		1	0	twenties	male_masculine			mt	
afcd29331f2be881c0cb860edb7ca2709b9445a4e3420599101ad312380d7d35c36f729551ee2aab66d44ff20523600a64a12233d47525c26cfa730ce3891107	common_voice_mt_21194605.mp3	4075dbd2b1c5a7c68e0060ccc06a25bab0f3625c26e0e8fa04c73f4b64aa6b85	Ġurnalist veteran li għen fl-iżvilupp tal-medja u l-isport f'pajjiżna.		0	1	twenties	male_masculine			mt	
